fecha_id,fecha,año,mes,dia,nombre_mes,nombre_dia_semana,trimestre,semana_del_año,es_fin_semana,es_dia_festivo,es_quincena,es_inicio_mes,es_fin_mes,periodo_compra
20240101,2024-01-01,2024,1,1,January,Monday,1,0,False,False,False,True,False,inicio_mes
20240102,2024-01-02,2024,1,2,January,Tuesday,1,0,False,False,False,True,False,inicio_mes
20240103,2024-01-03,2024,1,3,January,Wednesday,1,0,False,False,False,True,False,inicio_mes
20240104,2024-01-04,2024,1,4,January,Thursday,1,0,False,False,False,True,False,inicio_mes
20240105,2024-01-05,2024,1,5,January,Friday,1,0,False,False,False,True,False,inicio_mes
20240106,2024-01-06,2024,1,6,January,Saturday,1,0,True,False,False,False,False,otro
20240107,2024-01-07,2024,1,7,January,Sunday,1,1,True,False,False,False,False,otro
20240108,2024-01-08,2024,1,8,January,Monday,1,1,False,False,False,False,False,otro
20240109,2024-01-09,2024,1,9,January,Tuesday,1,1,False,False,False,False,False,otro
20240110,2024-01-10,2024,1,10,January,Wednesday,1,1,False,False,False,False,False,otro
20240111,2024-01-11,2024,1,11,January,Thursday,1,1,False,False,False,False,False,otro
20240112,2024-01-12,2024,1,12,January,Friday,1,1,False,False,False,False,False,otro
20240113,2024-01-13,2024,1,13,January,Saturday,1,1,True,False,False,False,False,otro
20240114,2024-01-14,2024,1,14,January,Sunday,1,2,True,False,False,False,False,otro
20240115,2024-01-15,2024,1,15,January,Monday,1,2,False,False,True,False,False,quincena
20240116,2024-01-16,2024,1,16,January,Tuesday,1,2,False,False,False,False,False,otro
20240117,2024-01-17,2024,1,17,January,Wednesday,1,2,False,False,False,False,False,otro
20240118,2024-01-18,2024,1,18,January,Thursday,1,2,False,False,False,False,False,otro
20240119,2024-01-19,2024,1,19,January,Friday,1,2,False,False,False,False,False,otro
20240120,2024-01-20,2024,1,20,January,Saturday,1,2,True,False,False,False,False,otro
20240121,2024-01-21,2024,1,21,January,Sunday,1,3,True,False,False,False,False,otro
20240122,2024-01-22,2024,1,22,January,Monday,1,3,False,False,False,False,False,otro
20240123,2024-01-23,2024,1,23,January,Tuesday,1,3,False,False,False,False,False,otro
20240124,2024-01-24,2024,1,24,January,Wednesday,1,3,False,False,False,False,False,otro
20240125,2024-01-25,2024,1,25,January,Thursday,1,3,False,False,False,False,False,otro
20240126,2024-01-26,2024,1,26,January,Friday,1,3,False,False,False,False,False,otro
20240127,2024-01-27,2024,1,27,January,Saturday,1,3,True,False,False,False,True,fin_mes
20240128,2024-01-28,2024,1,28,January,Sunday,1,4,True,False,False,False,True,fin_mes
20240129,2024-01-29,2024,1,29,January,Monday,1,4,False,False,False,False,True,fin_mes
20240130,2024-01-30,2024,1,30,January,Tuesday,1,4,False,False,True,False,True,quincena
20240131,2024-01-31,2024,1,31,January,Wednesday,1,4,False,False,True,False,True,quincena
20240201,2024-02-01,2024,2,1,February,Thursday,1,4,False,False,False,True,False,inicio_mes
